Time,Bond,Side,Notional,Counterparty,MidPrice,QuotedPrice,Competitors,Traded,nextMidPrice
368,US Treasury 10Y,BID,10000000,SniperFund,94.762,94.439,3,MISSED,94.876
371,US Treasury 3Y,ASK,250000,RelativeValueStrategies,100.627,100.76,5,MISSED,100.656
374,US Treasury 3Y,ASK,10000000,HF-Fortress,100.18,100.344,3,DONE,100.089
379,US Treasury 10Y,BID,100000,CountrysideBroker,95.645,95.382,4,MISSED,95.616
385,US Treasury 30Y,BID,250000,RelativeValueStrategies,92.792,92.721,7,MISSED,93.273
386,US Treasury 2Y,BID,100000,TankerAssetManagement,99.827,99.763,2,MISSED,99.942
395,US Treasury 5Y,ASK,100000,RelativeValueStrategies,99.273,99.384,6,MISSED,99.507
395,US Treasury 10Y,BID,5000000,SniperFund,101.753,101.6,3,MISSED,101.746
403,US Treasury 30Y,BID,10000000,CountrysideBroker,89.079,88.631,5,MISSED,88.966
410,US Treasury 10Y,BID,1000000,HF-Fortress,95.943,95.753,2,MISSED,95.863
410,US Treasury 3Y,ASK,500000,SleepyManager,102.118,102.128,3,DONE,102.134
418,US Treasury 2Y,ASK,500000,TankerAssetManagement,100.953,101.053,5,MISSED,100.931
426,US Treasury 2Y,BID,100000,HF-Fortress,101.81,101.753,7,MISSED,101.856
433,US Treasury 2Y,ASK,500000,TankerAssetManagement,100.779,100.829,4,DONE,100.727
436,US Treasury 3Y,ASK,500000,CountrysideBroker,100.643,100.731,5,MISSED,100.895
442,US Treasury 2Y,ASK,250000,HF-Fortress,101.834,101.947,6,MISSED,101.707
449,US Treasury 5Y,BID,2500000,SniperFund,99.21,99.113,5,MISSED,99.154
449,US Treasury 30Y,BID,1000000,RelativeValueStrategies,91.4,90.903,2,MISSED,91.395
454,US Treasury 2Y,BID,2500000,RelativeValueStrategies,100.618,100.574,4,DONE,100.467
459,US Treasury 5Y,BID,10000000,TankerAssetManagement,96.521,96.404,1,MISSED,96.559
463,US Treasury 30Y,ASK,500000,SleepyManager,91.248,91.291,6,MISSED,91.327
468,US Treasury 5Y,ASK,1000000,SleepyManager,100.298,100.398,7,MISSED,100.322
477,US Treasury 2Y,BID,1000000,SniperFund,100.011,99.976,3,MISSED,100.091
480,US Treasury 30Y,BID,100000,SniperFund,92.606,92.103,1,MISSED,92.867
489,US Treasury 5Y,BID,100000,SleepyManager,98.002,97.989,4,DONE,97.844
489,US Treasury 10Y,ASK,5000000,SleepyManager,97.496,97.458,2,DONE,97.787
491,US Treasury 3Y,BID,100000,CountrysideBroker,103.513,103.481,5,MISSED,103.38
494,US Treasury 5Y,ASK,10000000,SniperFund,98.33,98.651,4,MISSED,98.409
499,US Treasury 2Y,ASK,2500000,TankerAssetManagement,101.869,101.922,4,DONE,101.875
500,US Treasury 30Y,ASK,5000000,HF-Fortress,93.542,93.985,6,MISSED,93.266
501,US Treasury 30Y,ASK,10000000,TankerAssetManagement,98.347,98.552,5,MISSED,98.697
508,US Treasury 30Y,ASK,250000,TankerAssetManagement,93.521,93.773,1,MISSED,92.828
514,US Treasury 2Y,ASK,10000000,HF-Fortress,100.398,100.467,1,DONE,100.529
514,US Treasury 2Y,ASK,10000000,RelativeValueStrategies,100.516,100.669,1,DONE,100.615
520,US Treasury 10Y,ASK,1000000,RelativeValueStrategies,96.244,96.396,1,MISSED,96.383
528,US Treasury 5Y,ASK,100000,SleepyManager,99.867,99.935,1,DONE,99.96
528,US Treasury 3Y,ASK,10000000,RelativeValueStrategies,101.932,101.998,6,DONE,101.948
533,US Treasury 3Y,ASK,10000000,RelativeValueStrategies,103.847,103.964,7,MISSED,103.797
538,US Treasury 5Y,BID,1000000,SniperFund,98.802,98.699,5,MISSED,98.888
546,US Treasury 30Y,BID,100000,TankerAssetManagement,93.023,92.844,5,MISSED,93.125
551,US Treasury 2Y,ASK,500000,CountrysideBroker,101.432,101.523,7,MISSED,101.518
556,US Treasury 5Y,ASK,10000000,CountrysideBroker,98.497,98.524,1,DONE,98.529
562,US Treasury 10Y,BID,1000000,TankerAssetManagement,98.176,97.95,5,MISSED,98.077
568,US Treasury 30Y,ASK,250000,SniperFund,87.012,87.087,2,DONE,86.883
570,US Treasury 2Y,ASK,1000000,CountrysideBroker,98.615,98.739,3,DONE,98.682
574,US Treasury 30Y,ASK,500000,CountrysideBroker,92.572,92.763,7,MISSED,92.615
575,US Treasury 3Y,BID,1000000,TankerAssetManagement,100.896,100.733,2,MISSED,100.815
576,US Treasury 30Y,BID,500000,SleepyManager,98.445,98.214,3,MISSED,98.733
580,US Treasury 2Y,BID,500000,SleepyManager,103.293,103.162,1,MISSED,103.321
582,US Treasury 30Y,BID,100000,RelativeValueStrategies,92.814,92.582,5,MISSED,92.663
587,US Treasury 3Y,ASK,2500000,TankerAssetManagement,102.828,102.903,4,MISSED,102.904
587,US Treasury 3Y,ASK,2500000,TankerAssetManagement,101.389,101.515,1,MISSED,101.382
594,US Treasury 2Y,BID,5000000,SleepyManager,101.456,101.338,7,MISSED,101.588
595,US Treasury 10Y,ASK,250000,CountrysideBroker,96.296,96.465,2,MISSED,96.317
603,US Treasury 30Y,ASK,10000000,TankerAssetManagement,90.872,91.001,7,MISSED,91.397
610,US Treasury 30Y,BID,10000000,SleepyManager,97.684,97.459,2,MISSED,97.663
613,US Treasury 2Y,BID,10000000,RelativeValueStrategies,99.045,98.904,6,MISSED,99.025
622,US Treasury 3Y,ASK,1000000,CountrysideBroker,101.884,101.98,6,DONE,101.97
622,US Treasury 10Y,ASK,100000,SniperFund,99.517,99.651,2,MISSED,99.261
631,US Treasury 10Y,ASK,100000,SleepyManager,94.715,94.748,5,MISSED,95.062
636,US Treasury 5Y,BID,5000000,CountrysideBroker,99.12,98.831,1,MISSED,99.116
641,US Treasury 2Y,BID,5000000,CountrysideBroker,102.075,101.893,7,MISSED,102.207
645,US Treasury 30Y,ASK,1000000,HF-Fortress,94.449,94.778,1,MISSED,94.19
650,US Treasury 30Y,BID,2500000,SleepyManager,91.087,91.064,2,DONE,90.941
657,US Treasury 30Y,ASK,5000000,SleepyManager,97.28,97.272,6,DONE,97.575
662,US Treasury 5Y,BID,250000,CountrysideBroker,99.873,99.808,6,MISSED,99.856
665,US Treasury 30Y,BID,10000000,RelativeValueStrategies,94.985,94.815,2,DONE,94.644
666,US Treasury 5Y,BID,2500000,HF-Fortress,96.718,96.62,3,DONE,96.982
672,US Treasury 30Y,BID,100000,RelativeValueStrategies,92.395,92.443,2,DONE,92.175
678,US Treasury 3Y,BID,10000000,CountrysideBroker,101.756,101.606,4,MISSED,101.654
678,US Treasury 3Y,ASK,500000,SniperFund,101.877,101.906,3,MISSED,101.784
685,US Treasury 2Y,ASK,250000,TankerAssetManagement,100.512,100.579,2,MISSED,100.523
692,US Treasury 3Y,BID,10000000,SniperFund,100.593,100.446,5,MISSED,100.566
698,US Treasury 2Y,BID,100000,CountrysideBroker,100.012,99.983,7,MISSED,100.143
701,US Treasury 2Y,BID,2500000,RelativeValueStrategies,100.956,100.896,6,MISSED,100.976
709,US Treasury 10Y,BID,250000,SleepyManager,94.55,94.429,7,MISSED,94.351
713,US Treasury 10Y,ASK,10000000,CountrysideBroker,93.654,93.86,7,MISSED,93.915
722,US Treasury 10Y,ASK,5000000,TankerAssetManagement,91.532,91.724,6,MISSED,91.684
726,US Treasury 5Y,BID,250000,SleepyManager,96.817,96.645,5,MISSED,96.631
733,US Treasury 30Y,ASK,250000,SleepyManager,94.669,94.68,4,DONE,94.657
735,US Treasury 5Y,ASK,250000,HF-Fortress,97.76,97.855,6,MISSED,97.86
742,US Treasury 2Y,BID,250000,SniperFund,102.241,102.186,5,MISSED,102.309
751,US Treasury 10Y,ASK,5000000,TankerAssetManagement,95.532,95.581,2,DONE,95.651
754,US Treasury 10Y,ASK,250000,SleepyManager,94.612,94.835,2,MISSED,94.22
762,US Treasury 5Y,ASK,500000,SleepyManager,98.731,98.859,5,MISSED,98.748
763,US Treasury 2Y,ASK,2500000,CountrysideBroker,100.155,100.241,3,MISSED,100.338
768,US Treasury 2Y,BID,500000,RelativeValueStrategies,101.217,101.169,3,DONE,101.248
774,US Treasury 5Y,BID,250000,SleepyManager,99.418,99.376,1,DONE,99.481
780,US Treasury 2Y,ASK,250000,HF-Fortress,102.051,102.125,5,MISSED,102.155
780,US Treasury 3Y,BID,1000000,HF-Fortress,101.516,101.458,7,MISSED,101.459
787,US Treasury 5Y,BID,100000,SniperFund,98.709,98.565,1,DONE,99.017
787,US Treasury 2Y,ASK,2500000,CountrysideBroker,101.467,101.483,3,DONE,101.524
790,US Treasury 3Y,ASK,5000000,CountrysideBroker,101.377,101.503,7,MISSED,101.427
793,US Treasury 5Y,BID,2500000,RelativeValueStrategies,97.743,97.592,6,MISSED,97.523
793,US Treasury 2Y,BID,250000,CountrysideBroker,101.713,101.691,2,MISSED,101.676
793,US Treasury 10Y,ASK,5000000,HF-Fortress,99.685,100.027,4,MISSED,99.466
798,US Treasury 30Y,ASK,10000000,HF-Fortress,91.042,91.137,4,DONE,90.961
798,US Treasury 30Y,BID,100000,TankerAssetManagement,90.806,90.642,7,MISSED,91.091
799,US Treasury 3Y,BID,500000,SleepyManager,102.224,102.052,6,MISSED,102.106
803,US Treasury 5Y,ASK,10000000,HF-Fortress,99.603,99.673,6,DONE,99.402
811,US Treasury 10Y,ASK,10000000,RelativeValueStrategies,94.417,94.692,3,MISSED,94.435
814,US Treasury 10Y,ASK,100000,SniperFund,96.282,96.357,4,MISSED,96.465
821,US Treasury 3Y,BID,10000000,SleepyManager,100.455,100.383,5,DONE,100.52
824,US Treasury 30Y,ASK,500000,HF-Fortress,93.406,93.602,7,MISSED,93.803
825,US Treasury 10Y,BID,500000,SleepyManager,97.284,97.439,5,DONE,97.129
829,US Treasury 30Y,BID,5000000,SniperFund,97.113,96.947,1,MISSED,96.803
838,US Treasury 30Y,ASK,1000000,SleepyManager,94.926,95.32,5,MISSED,95.344
839,US Treasury 10Y,BID,100000,CountrysideBroker,96.331,96.197,3,MISSED,96.284
845,US Treasury 30Y,ASK,1000000,SleepyManager,87.689,87.878,1,DONE,87.746
853,US Treasury 30Y,BID,250000,TankerAssetManagement,95.482,95.382,2,DONE,95.397
854,US Treasury 30Y,ASK,5000000,TankerAssetManagement,93.85,94.144,7,MISSED,93.62
857,US Treasury 10Y,BID,1000000,SniperFund,95.645,95.516,7,MISSED,95.797
862,US Treasury 5Y,ASK,1000000,HF-Fortress,97.683,97.849,6,MISSED,97.582
864,US Treasury 3Y,BID,100000,HF-Fortress,102.728,102.635,3,MISSED,102.762
873,US Treasury 3Y,ASK,250000,SleepyManager,102.757,102.831,4,MISSED,102.662
879,US Treasury 3Y,ASK,250000,HF-Fortress,101.698,101.806,7,MISSED,101.666
880,US Treasury 5Y,BID,2500000,CountrysideBroker,97.885,97.775,6,MISSED,97.808
880,US Treasury 3Y,ASK,250000,HF-Fortress,103.662,103.855,5,MISSED,103.738
884,US Treasury 2Y,BID,10000000,HF-Fortress,100.882,100.792,6,MISSED,100.839
892,US Treasury 5Y,BID,250000,SniperFund,101.896,101.703,5,MISSED,101.715
899,US Treasury 5Y,ASK,250000,SniperFund,100.012,100.167,3,MISSED,100.096
908,US Treasury 30Y,ASK,500000,SniperFund,92.76,92.855,7,MISSED,92.481
916,US Treasury 30Y,BID,250000,SleepyManager,92.655,92.4,6,MISSED,92.981
925,US Treasury 5Y,BID,500000,SniperFund,98.146,98.085,7,MISSED,98.198
932,US Treasury 10Y,BID,10000000,TankerAssetManagement,94.902,94.662,3,MISSED,94.765
939,US Treasury 3Y,BID,500000,CountrysideBroker,101.567,101.591,4,DONE,101.507
939,US Treasury 3Y,BID,500000,TankerAssetManagement,103.047,102.993,4,MISSED,103.158
944,US Treasury 3Y,BID,250000,RelativeValueStrategies,101.543,101.511,5,DONE,101.509
945,US Treasury 3Y,ASK,500000,HF-Fortress,102.221,102.362,3,MISSED,102.29
950,US Treasury 30Y,BID,100000,CountrysideBroker,99.223,99.082,2,MISSED,99.133
955,US Treasury 10Y,BID,10000000,HF-Fortress,98.388,98.212,7,MISSED,98.45
958,US Treasury 5Y,ASK,250000,TankerAssetManagement,95.958,96.05,7,MISSED,95.887
964,US Treasury 5Y,BID,1000000,SniperFund,99.053,99.029,5,DONE,98.965
972,US Treasury 30Y,BID,5000000,TankerAssetManagement,89.973,89.836,5,MISSED,89.586
974,US Treasury 30Y,ASK,100000,SleepyManager,90.023,90.169,1,DONE,89.771
976,US Treasury 30Y,BID,250000,HF-Fortress,95.59,95.534,7,MISSED,95.808
985,US Treasury 10Y,BID,10000000,RelativeValueStrategies,95.952,95.851,7,MISSED,96.002
989,US Treasury 3Y,BID,500000,SleepyManager,99.722,99.592,1,DONE,99.798
998,US Treasury 2Y,ASK,1000000,RelativeValueStrategies,102.948,102.967,2,MISSED,102.876
1000,US Treasury 10Y,ASK,250000,SniperFund,94.44,94.283,3,DONE,94.491
1006,US Treasury 2Y,ASK,10000000,CountrysideBroker,101.429,101.575,4,MISSED,101.445
1013,US Treasury 30Y,BID,500000,RelativeValueStrategies,99.3,99.305,1,MISSED,99.913
1017,US Treasury 10Y,ASK,10000000,HF-Fortress,96.643,96.676,6,DONE,96.935
1025,US Treasury 30Y,ASK,1000000,SleepyManager,98.134,98.29,7,MISSED,97.625
1031,US Treasury 5Y,BID,10000000,CountrysideBroker,99.679,99.392,5,MISSED,99.639
1034,US Treasury 5Y,ASK,1000000,SleepyManager,100.171,100.298,5,MISSED,100.322
1035,US Treasury 30Y,ASK,500000,SniperFund,87.917,88.233,2,MISSED,88.595
1036,US Treasury 3Y,ASK,250000,SleepyManager,101.568,101.604,3,MISSED,101.638
1044,US Treasury 2Y,BID,250000,SleepyManager,102.163,102.039,1,MISSED,102.136
1048,US Treasury 30Y,BID,2500000,HF-Fortress,87.789,87.734,4,MISSED,87.937
1055,US Treasury 5Y,ASK,250000,TankerAssetManagement,98.951,99.113,5,MISSED,98.881
1058,US Treasury 10Y,ASK,500000,CountrysideBroker,97.478,97.625,6,MISSED,97.255
1059,US Treasury 3Y,BID,1000000,CountrysideBroker,102.212,102.052,7,MISSED,102.164
1061,US Treasury 30Y,ASK,2500000,TankerAssetManagement,91.429,91.608,1,MISSED,91.184
1068,US Treasury 30Y,BID,5000000,RelativeValueStrategies,94.256,93.898,4,MISSED,94.41
1069,US Treasury 30Y,BID,10000000,SleepyManager,90.495,90.388,5,MISSED,90.708
1071,US Treasury 2Y,BID,250000,CountrysideBroker,102.354,102.315,1,MISSED,102.189
1071,US Treasury 5Y,BID,10000000,SniperFund,97.806,97.697,1,DONE,97.838
1076,US Treasury 30Y,ASK,5000000,SniperFund,98.093,98.211,4,MISSED,97.557
1077,US Treasury 2Y,BID,10000000,RelativeValueStrategies,101.3,101.114,6,MISSED,101.252
1079,US Treasury 3Y,BID,100000,TankerAssetManagement,103.647,103.655,4,MISSED,103.567
1082,US Treasury 30Y,ASK,5000000,SniperFund,89.396,89.698,7,MISSED,88.932
1091,US Treasury 30Y,ASK,2500000,HF-Fortress,94.795,95.157,6,MISSED,93.992
1096,US Treasury 3Y,BID,5000000,RelativeValueStrategies,104.031,103.956,4,MISSED,104.075
1097,US Treasury 5Y,ASK,100000,TankerAssetManagement,98.306,98.336,3,MISSED,98.274
1097,US Treasury 3Y,ASK,100000,CountrysideBroker,103.441,103.547,7,MISSED,103.45
1098,US Treasury 10Y,BID,1000000,SniperFund,96.167,96.006,1,MISSED,96.027
1105,US Treasury 5Y,BID,2500000,SniperFund,98.01,97.805,5,MISSED,97.983
1113,US Treasury 10Y,ASK,100000,RelativeValueStrategies,96.557,96.6,6,MISSED,96.409
1114,US Treasury 30Y,BID,5000000,SniperFund,94.113,93.847,3,MISSED,94.119
1114,US Treasury 30Y,BID,1000000,SleepyManager,95.866,95.685,6,MISSED,95.826
1114,US Treasury 2Y,BID,500000,CountrysideBroker,99.986,99.892,2,DONE,99.948
1121,US Treasury 10Y,BID,100000,TankerAssetManagement,94.706,94.698,7,MISSED,94.759
1121,US Treasury 5Y,ASK,1000000,RelativeValueStrategies,100.719,100.793,5,MISSED,100.892
1123,US Treasury 5Y,ASK,2500000,HF-Fortress,98.707,98.759,3,DONE,98.762
1127,US Treasury 5Y,BID,10000000,SleepyManager,97.638,97.505,3,DONE,97.419
1136,US Treasury 3Y,ASK,10000000,HF-Fortress,101.295,101.518,4,MISSED,101.069
1136,US Treasury 2Y,ASK,250000,TankerAssetManagement,100.488,100.504,2,MISSED,100.603
1137,US Treasury 2Y,BID,5000000,RelativeValueStrategies,98.979,98.912,1,DONE,98.865
1137,US Treasury 2Y,BID,2500000,CountrysideBroker,103.574,103.441,7,MISSED,103.556
1137,US Treasury 3Y,BID,1000000,RelativeValueStrategies,100.522,100.507,1,DONE,100.726
1138,US Treasury 3Y,ASK,250000,SniperFund,101.76,101.723,5,MISSED,101.625
1139,US Treasury 10Y,ASK,250000,SleepyManager,99.671,99.721,7,MISSED,99.98
1146,US Treasury 30Y,ASK,250000,RelativeValueStrategies,90.8,90.702,2,DONE,91.056
1148,US Treasury 2Y,ASK,10000000,RelativeValueStrategies,101.47,101.577,7,MISSED,101.399
1148,US Treasury 2Y,BID,2500000,TankerAssetManagement,101.427,101.355,4,MISSED,101.302
1150,US Treasury 3Y,ASK,1000000,SleepyManager,102.886,102.981,3,MISSED,102.96
1153,US Treasury 5Y,ASK,2500000,SniperFund,100.088,100.162,1,MISSED,99.952
1159,US Treasury 30Y,BID,2500000,TankerAssetManagement,96.876,96.518,6,MISSED,96.7
1162,US Treasury 2Y,ASK,1000000,TankerAssetManagement,100.978,100.996,4,DONE,101.041
1171,US Treasury 2Y,ASK,5000000,CountrysideBroker,101.836,102.119,3,MISSED,101.848
1173,US Treasury 2Y,BID,250000,SleepyManager,99.245,99.148,1,MISSED,99.403
1178,US Treasury 10Y,BID,250000,SleepyManager,92.38,92.13,6,MISSED,92.354
1183,US Treasury 30Y,ASK,250000,SniperFund,94.02,94.473,4,MISSED,93.978
1191,US Treasury 3Y,ASK,2500000,RelativeValueStrategies,101.88,101.931,5,MISSED,101.569
1192,US Treasury 5Y,ASK,250000,SniperFund,97.385,97.479,4,MISSED,97.467
1196,US Treasury 5Y,BID,10000000,CountrysideBroker,99.032,98.678,7,MISSED,99.016
1197,US Treasury 2Y,BID,5000000,SleepyManager,98.999,98.831,3,MISSED,99.122
1197,US Treasury 3Y,ASK,250000,SleepyManager,104.25,104.414,1,MISSED,104.367
1203,US Treasury 10Y,ASK,500000,TankerAssetManagement,100.579,100.702,5,MISSED,100.966
1205,US Treasury 30Y,ASK,500000,HF-Fortress,96.92,97.168,4,MISSED,96.995
1213,US Treasury 10Y,ASK,500000,SniperFund,95.649,95.753,4,DONE,95.505
1218,US Treasury 3Y,ASK,1000000,RelativeValueStrategies,103.911,103.928,4,DONE,104.063
1222,US Treasury 3Y,BID,2500000,SleepyManager,101.41,101.332,3,MISSED,101.375
1228,US Treasury 3Y,BID,2500000,RelativeValueStrategies,101.698,101.571,2,MISSED,101.746
1235,US Treasury 2Y,BID,1000000,SleepyManager,102.088,101.85,2,MISSED,101.99
1242,US Treasury 30Y,BID,2500000,TankerAssetManagement,89.309,89.214,7,MISSED,89.268
1245,US Treasury 3Y,ASK,100000,HF-Fortress,101.777,101.85,7,MISSED,101.777
1248,US Treasury 3Y,BID,250000,SniperFund,102.987,102.891,6,MISSED,103.065
1256,US Treasury 30Y,ASK,2500000,RelativeValueStrategies,96.122,96.364,4,MISSED,96.262
1260,US Treasury 3Y,ASK,1000000,TankerAssetManagement,101.839,101.998,3,MISSED,101.91
1263,US Treasury 3Y,BID,100000,HF-Fortress,103.187,103.292,7,DONE,103.206
1266,US Treasury 3Y,ASK,1000000,CountrysideBroker,101.213,101.32,1,MISSED,101.279
1269,US Treasury 10Y,ASK,1000000,HF-Fortress,96.344,96.642,7,MISSED,96.375
